[INFO ] [2022-10-21 22:50:18,850] Register Success Step-01: Click on 'Account' menu
[INFO ] [2022-10-21 22:50:19,073] Register Success Step-02: Click to 'Register' link and navigate to Register Page
[INFO ] [2022-10-21 22:50:20,224] Register Success Step-03: Input to 'FirtName' textbox with value: Phan
[INFO ] [2022-10-21 22:50:20,740] Register Success Step-04: Input to 'Middle Name' textbox value:Thi
[INFO ] [2022-10-21 22:50:21,020] Register Success Step-05: Input to 'LastName' textboxvalue: Thuy
[INFO ] [2022-10-21 22:50:21,272] Register Success Step-06: Input to 'Email Address' textboxvalue: Phanthuy438848@gmail.com
[INFO ] [2022-10-21 22:50:21,556] Register Success Step-07: Input to 'Password' textbox value: 28111998
[INFO ] [2022-10-21 22:50:21,813] Register Success Step-08: Input to 'Confirm password' textbox value: 28111998
[INFO ] [2022-10-21 22:50:22,075] Register Success Step-08: Input to 'Confirm password' textbox value: 28111998
[INFO ] [2022-10-21 22:50:22,272] Register Success Step-09: Click ton 'Register' link
[INFO ] [2022-10-21 22:50:24,088] Register Success Step-10: Verify Register Success with message 'Thank you for registering with Main Website Store.' displayed
[INFO ] [2022-10-21 22:50:24,477]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-21 22:50:24,487] Verify Infomation Register-Step 01: Click to 'My Account' link and navigate to My Account Page
[INFO ] [2022-10-21 22:50:25,405] Verify Infomation Register-Step 02: Click to 'Acount Information' in My Account Page
[INFO ] [2022-10-21 22:50:26,537] Verify Infomation Register-Step 03: Verify FirstName textbox displayed with value:Phan
[INFO ] [2022-10-21 22:50:26,896]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-21 22:50:26,897] Verify Infomation Register-Step 04: Verify Middlel tName textbox displayed with value:Thi
[INFO ] [2022-10-21 22:50:26,972]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-21 22:50:26,972] Verify Infomation Register-Step 05: Verify LastName textbox displayed with value:Thuy
[INFO ] [2022-10-21 22:50:27,047]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-21 22:50:27,047] Verify Infomation Register-Step 06: Verify Email textbox displayed with value:Phanthuy438848@gmail.com
[INFO ] [2022-10-21 22:50:27,155]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-21 22:50:27,155] Verify Infomation Register-Step 07: Click to 'Logout' link and navigate to Home Page
[INFO ] [2022-10-21 22:50:28,602] Login Success-Step 01: Click to Login link and navigate to Login Page
[INFO ] [2022-10-21 22:50:29,917] Login Success-Step 02: Input to Email textbox with value:Phanthuy438848@gmail.com
[INFO ] [2022-10-21 22:50:30,489] Login Success-Step 03: Input to Password textbox with value: 28111998
[INFO ] [2022-10-21 22:50:30,736] Login Success-Step 04: Click to Login button and navigate to My Dashboard Page
[INFO ] [2022-10-21 22:50:34,149] Login Success-Step 05: Verify Login Success with text value 'Hello, Phan Thi Thuy!
[INFO ] [2022-10-21 22:50:35,471]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-21 22:50:35,471] Login Success-Step 06: Verify 'My Dashboard' is displayed
